G18UU-22683-MONOMER	G18UU-22683		conserved exported protein of unknown function	
G18UU-22682-MONOMER	G18UU-22682		putative lysophospholipase	
G18UU-22681-MONOMER	G18UU-22681		conserved exported protein of unknown function	
G18UU-22680-MONOMER	G18UU-22680		conserved protein of unknown function	
G18UU-22679-MONOMER	G18UU-22679		conserved protein of unknown function	
G18UU-22678-MONOMER	G18UU-22678		conserved exported protein of unknown function	
G18UU-22677-MONOMER	G18UU-22677		conserved exported protein of unknown function	
G18UU-22676-MONOMER	G18UU-22676		D-3-phosphoglycerate dehydrogenase / alpha-ketoglutarate reductase	
G18UU-22675-MONOMER	G18UU-22675		putative Oxidoreductase, FAD-binding	
G18UU-22674-MONOMER	G18UU-22674		putative isomerase/hydrolase	
G18UU-22673-MONOMER	G18UU-22673		conserved exported protein of unknown function	
G18UU-22672-MONOMER	G18UU-22672		conserved exported protein of unknown function	
G18UU-22671-MONOMER	G18UU-22671		Ribose-5-phosphate isomerase A	
G18UU-22670-MONOMER	G18UU-22670		threonine deaminase	
G18UU-22669-MONOMER	G18UU-22669		conserved membrane protein of unknown function	
G18UU-22668-MONOMER	G18UU-22668		Hydrolase, haloacid dehalogenase-like family	
G18UU-22667-MONOMER	G18UU-22667		RNA pyrophosphohydrolase	
G18UU-22666-MONOMER	G18UU-22666		phosphoenolpyruvate-dependent regulator (with NPR and NTR proteins)	
G18UU-22665-MONOMER	G18UU-22665		conserved protein of unknown function	
G18UU-22664-MONOMER	G18UU-22664		conserved membrane protein of unknown function	
G18UU-22663-MONOMER	G18UU-22663		Prolipoprotein diacylglyceryl transferase	
G18UU-22662-MONOMER	G18UU-22662		Thymidylate synthase	
G18UU-22661-MONOMER	G18UU-22661		Transcriptional regulator, MerR family	
G18UU-22660-MONOMER	G18UU-22660		cadmium translocating P-type ATPase	
G18UU-22659-MONOMER	G18UU-22659		putative transcriptional regulator LysR family	
G18UU-22658-MONOMER	G18UU-22658		ferric iron ABC transporter, ATP-binding protein	
G18UU-22657-MONOMER	G18UU-22657		ABC transporter, permease protein	
G18UU-22656-MONOMER	G18UU-22656		ABC transporter, periplasmic binding protein	
G18UU-22655-MONOMER	G18UU-22655		conserved protein of unknown function	
G18UU-22654-MONOMER	G18UU-22654		conserved membrane protein of unknown function	
G18UU-22653-MONOMER	G18UU-22653		dihydrofolate reductase	
G18UU-22652-MONOMER	G18UU-22652		sodium-cystine symporter	
G18UU-22651-MONOMER	G18UU-22651		phosphoethanolamine/phosphocholine phosphatase	
G18UU-22650-MONOMER	G18UU-22650		conserved protein of unknown function	
G18UU-22649-MONOMER	G18UU-22649		Dihydroxy-acid dehydratase	
G18UU-22648-MONOMER	G18UU-22648		ribosomal RNA large subunit methyltransferase I	
G18UU-22647-MONOMER	G18UU-22647		conserved protein of unknown function containing an HDOD domain	
G18UU-22646-MONOMER	G18UU-22646		Formamidopyrimidine-DNA glycosylase	
G18UU-22645-MONOMER	G18UU-22645		putative 4Fe-4S cluster-containing protein	
G18UU-22644-MONOMER	G18UU-22644		Phosphopantetheine adenylyltransferase	
G18UU-22643-MONOMER	G18UU-22643		Oxidoreductase, GMC family	
G18UU-22642-MONOMER	G18UU-22642		conserved exported protein of unknown function	
G18UU-22641-MONOMER	G18UU-22641		coniferyl aldehyde dehydrogenase	
G18UU-22640-MONOMER	G18UU-22640		Transcriptional regulator, TetR family	
G18UU-22639-MONOMER	G18UU-22639		putative 3-mercaptopyruvate sulfurtransferase	
G18UU-22638-MONOMER	G18UU-22638		putative hydrolase	
G18UU-22637-MONOMER	G18UU-22637		conserved protein of unknown function	
G18UU-22636-MONOMER	G18UU-22636		putative Zinc protease	
G18UU-22635-MONOMER	G18UU-22635		putative adenine methyltransferase	
G18UU-22634-MONOMER	G18UU-22634		predicted Zn-dependent peptidases	
G18UU-22633-MONOMER	G18UU-22633		putative processin peptidase	
